user_id,matches,recomendations,train,eval
U_8883086,0,1,3,1
U_45576,0,1,3,1
U_242413,0,2,3,2
U_8731810,0,1,3,1
U_10421763,0,1,3,1
U_3198415,0,1,3,1
U_8633297,0,3,6,3
U_10193975,0,1,3,1
U_7562923,0,1,3,1
U_10909785,0,1,3,1
U_5366989,0,3,6,3
U_4443321,0,3,6,3
U_3049616,0,2,5,2
U_10850427,0,2,3,2
U_8174202,0,2,3,2
U_9920911,0,1,3,1
U_2604571,0,3,8,3
U_254742,0,3,6,3
U_523238,1,2,4,2
U_1405077,0,2,3,2
U_676158,0,2,5,2
U_6144200,0,2,6,2
U_382688,0,1,3,1
U_2990341,0,2,4,2
U_2352557,0,1,3,1
U_7563999,2,2,3,2
U_218422,0,1,3,1
U_10573106,0,2,4,2
U_499347,0,1,3,1
U_7027795,0,2,3,2
U_9009394,0,3,6,3
U_450481,0,1,3,1
U_8083198,0,2,4,2
U_3162907,0,1,3,1
U_11084625,0,2,3,2
U_1580694,0,5,12,5
U_9205682,0,1,3,1
U_9888223,0,3,7,3
U_9888224,0,2,3,2
U_7416717,1,1,3,1
U_1983346,1,2,3,2
U_9497411,0,1,3,1
U_10433027,0,1,3,1
U_8577297,0,1,3,1
U_8577292,1,2,6,2
U_11690970,0,2,4,2
U_8430411,0,3,8,3
U_9330659,0,2,6,2
U_195879,0,2,4,2
U_8727942,0,2,3,2
U_8727947,1,7,20,7
U_8007089,0,1,3,1
U_11105616,0,1,3,1
U_11652981,0,2,4,2
U_9372135,0,2,5,2
U_6697089,0,1,3,1
U_8866581,0,2,3,2
U_10175530,0,1,3,1
U_10175538,0,9,25,9
U_9943023,0,2,3,2
U_8611120,0,1,3,1
U_8411230,0,1,3,1
U_8411236,0,3,8,3
U_31138,0,1,3,1
U_9854109,0,2,5,2
U_7024386,0,2,3,2
U_1912507,0,3,6,3
U_7523497,0,2,3,2
U_7194700,0,1,3,1
U_7005051,0,2,3,2
U_10469898,0,2,6,2
U_386649,0,1,3,1
U_1778913,0,3,6,3
U_1967454,0,2,6,2
U_8057749,0,1,3,1
U_10578030,0,2,4,2
U_6693265,0,2,3,2
U_8835832,0,2,4,2
U_630371,0,8,22,8
U_10918407,0,3,7,3
U_573405,0,2,4,2
U_2313179,0,2,3,2
U_10482644,1,3,7,3
U_6068999,0,2,3,2
U_2909315,1,4,9,4
U_9180925,1,1,3,1
U_1523336,0,1,3,1
U_1230588,0,1,3,1
U_6600035,0,2,4,2
U_6724427,0,2,6,2
U_2663646,0,1,3,1
U_6947041,0,1,3,1
U_7965622,0,2,3,2
U_6993550,0,2,4,2
U_6993554,0,2,3,2
U_208654,0,3,8,3
U_5252276,0,2,5,2
U_6950661,0,1,3,1
