user_id,num_recomendations,evaluate,matches
U_10186649,2,2,2
U_10186893,2,2,1
U_10188062,4,4,2
U_10188747,2,2,1
U_10188895,2,2,1
U_10189389,4,4,2
U_10189616,2,2,1
U_10190005,2,2,2
U_10190253,2,2,0
U_10190308,2,2,2
U_1019042,2,2,1
U_1019184,2,2,1
U_10191857,3,3,2
U_10191965,3,3,3
U_10192501,2,2,2
U_10192644,3,3,1
U_10193003,2,2,2
U_10193221,2,2,1
U_10193267,3,3,1
U_10193412,2,2,2
U_10193442,2,2,2
U_10194128,2,2,1
U_10194295,3,3,1
U_10194302,3,3,3
U_101948,2,2,1
U_10194813,2,2,1
U_1019500,3,3,2
U_10195066,3,3,2
U_1019534,2,2,1
U_10195384,5,5,3
U_10195396,2,2,2
U_10195880,2,2,1
U_10195941,2,2,1
U_10196276,2,2,1
U_101973,2,2,1
U_10197562,2,2,1
U_10197569,4,4,3
U_10197664,2,2,2
U_10197986,4,4,1
U_10198004,2,2,1
U_101981,2,2,2
U_10198406,2,2,1
U_10198551,2,2,2
U_10198916,2,2,1
U_1019926,4,4,2
U_10199868,2,2,1
U_10199922,2,2,1
U_10200085,2,2,1
U_10200571,2,2,2
U_10200923,2,2,2
U_10200998,4,4,3
U_10201533,2,2,1
U_10201763,2,2,2
U_10202000,2,2,2
U_10202319,2,2,1
U_10202378,2,2,2
U_1020340,2,2,2
U_102039,8,8,3
U_1020493,4,4,2
U_10205314,2,2,2
U_102054,4,4,4
U_10205787,3,3,1
U_102069,2,2,2
U_102071,4,4,2
U_102077,3,3,3
U_10210300,3,3,3
U_10210935,2,2,1
U_102118,3,3,2
U_10211982,2,2,1
U_10212589,3,3,1
U_10213250,2,2,1
U_10213381,2,2,2
U_10213488,2,2,1
U_102136,4,4,2
U_10213788,2,2,2
U_10214172,2,2,1
U_10215038,3,3,1
U_10215387,3,3,2
U_10216117,3,3,2
U_10216225,2,2,2
U_10216651,3,3,2
U_10216882,2,2,2
U_10217272,2,2,1
U_10218478,2,2,2
U_102185,4,4,3
U_10220066,2,2,2
U_10220382,2,2,1
U_10220458,2,2,1
U_10221423,2,2,1
U_10221518,2,2,1
U_10221571,2,2,2
U_10221700,2,2,2
U_10221776,2,2,1
U_10222701,2,2,1
U_10222876,2,2,1
U_10223029,2,2,1
U_10223349,3,3,2
U_10223734,2,2,2
U_10225149,2,2,1
U_10226155,2,2,1
U_10226290,2,2,2
U_10226661,2,2,1
U_10226747,2,2,2
U_10226911,3,3,3
U_10227008,3,3,1
U_10227059,5,5,1
U_10227068,2,2,2
U_10227640,2,2,2
U_10227696,2,2,1
U_10228381,2,2,1
U_10230176,3,3,2
U_10230484,2,2,1
U_10231276,3,3,2
U_10231443,3,3,2
U_10231493,3,3,2
U_10231915,4,4,4
U_10232121,2,2,1
U_10232281,2,2,1
U_10232324,2,2,1
U_10232876,4,4,2
U_1023375,5,5,3
U_10234513,2,2,1
U_10234601,2,2,2
U_10234713,2,2,1
U_10235256,2,2,1
U_10235974,2,2,1
U_10235998,3,3,2
U_10236826,2,2,1
U_10236873,2,2,1
U_10236889,2,2,1
U_10237,10,10,4
U_10237775,2,2,1
U_10237785,2,2,1
U_10238562,3,3,3
U_10238933,2,2,1
U_10238950,2,2,1
U_10238992,4,4,2
U_10240001,7,7,5
U_10240057,2,2,1
U_10240342,2,2,1
U_10240533,3,3,2
U_10240750,2,2,2
U_10241374,2,2,1
U_10241416,2,2,1
U_10242187,3,3,1
U_10242313,7,7,4
U_10242972,2,2,2
U_102432,3,3,2
U_10243573,3,3,1
U_10243948,3,3,1
U_10244092,2,2,1
U_10244263,2,2,1
U_102443,3,3,2
U_10244473,4,4,3
U_10244524,7,7,2
U_10244650,2,2,1
U_10244936,3,3,2
U_10246447,2,2,2
U_10247015,2,2,2
U_10247330,2,2,1
U_10247948,3,3,3
